app_name,year,recommendations
Killing Floor,2011,24
Killing Floor,2015,48
Killing Floor,2013,120
Killing Floor,2014,184
Killing Floor,2010,11
Killing Floor,2012,15
Zeno Clash,2011,6
Zeno Clash,2013,2
Zeno Clash,2015,1
Zeno Clash,2012,2
Euro Truck Simulator 2,2014,73
Euro Truck Simulator 2,2015,33
Euro Truck Simulator 2,2013,11
"Papers, Please",2015,12
"Papers, Please",2014,48
"Papers, Please",2013,24
Risk of Rain,2015,44
Risk of Rain,2014,80
Risk of Rain,2013,26
TIS-100,2015,2
Transistor,2014,35
Transistor,2015,24
3089 -- Futuristic Action RPG,2014,2
3089 -- Futuristic Action RPG,2015,1
Space Pirates and Zombies,2014,4
Space Pirates and Zombies,2013,2
Space Pirates and Zombies,2011,2
Gnomoria,2014,2
Gnomoria,2013,4
The Wolf Among Us,2013,20
The Wolf Among Us,2014,64
The Wolf Among Us,2015,12
The Witcher 2: Assassins of Kings Enhanced Edition,2012,2
The Witcher 2: Assassins of Kings Enhanced Edition,2014,30
The Witcher 2: Assassins of Kings Enhanced Edition,2015,7
The Witcher 2: Assassins of Kings Enhanced Edition,2013,10
The Witcher 2: Assassins of Kings Enhanced Edition,2011,2
Max Payne 3,2012,8
Max Payne 3,2014,28
Max Payne 3,2015,5
Max Payne 3,2013,13
Defiance,2014,28
Defiance,2013,10
Defiance,2015,6
The Walking Dead,2013,75
The Walking Dead,2012,22
The Walking Dead,2014,62
The Walking Dead,2015,14
Alan Wake,2012,11
Alan Wake,2014,12
Alan Wake,2013,14
Alan Wake,2015,2
DARK SOULS™: Prepare To Die™ Edition,2014,63
DARK SOULS™: Prepare To Die™ Edition,2015,38
DARK SOULS™: Prepare To Die™ Edition,2013,30
DARK SOULS™: Prepare To Die™ Edition,2012,2
Starbound,2013,169
Starbound,2014,208
Starbound,2015,78
Counter-Strike: Global Offensive,2014,1492
Counter-Strike: Global Offensive,2015,2076
Counter-Strike: Global Offensive,2013,263
Counter-Strike: Global Offensive,2012,29
Awesomenauts - the 2D moba,2013,49
Awesomenauts - the 2D moba,2014,122
Awesomenauts - the 2D moba,2015,36
Awesomenauts - the 2D moba,2012,8
LEGO® Marvel™ Super Heroes,2014,36
LEGO® Marvel™ Super Heroes,2015,13
LEGO® Marvel™ Super Heroes,2013,11
Left 4 Dead 2,2012,50
