developer,year,bad_reviews,recommend_score
1C Company,2011,1,0
1C-Avalon,2015,1,0
1C: Maddox Games,2014,1,6
"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014,2,47
"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2015,5,39
"2K Boston,2K Australia",2015,1,18
"2K Czech,Feral Interactive (Mac)",2014,1,20
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2014,1,9
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2015,1,8
2Play,2015,1,1
3000AD,2015,1,0
"343 Industries,Vanguard Games",2015,1,2
3909,2014,1,48
5th Cell Media,2015,1,5
777 Studios,2015,2,0
8-Bit Studio,2014,1,0
800 North and Digital Ranch,2014,2,27
9heads Game Studios,2014,2,3
ACE Team,2014,1,3
ACQUIRE Corp.,2015,1,7
Actalogic,2014,3,0
Airtight Games,2014,1,5
Alan Edwardes,2014,1,44
Aleksey Abramenko,2014,1,0
Alexander Bruce,2014,1,25
Alientrap,2015,1,4
"Amaranth Games, LLC",2015,1,0
Andrii Vintsevych,2013,4,4
Andrii Vintsevych,2015,1,2
Ankama Studio,2015,1,4
Anothink,2015,1,2
Archive Entertainment,2013,1,17
Archive Entertainment,2014,6,15
Archive Entertainment,2015,2,4
Arkavi Studios,2014,1,0
Arrowhead Game Studios,2014,5,61
Arrowhead Game Studios,2015,1,23
Artifice Studio,2015,1,0
Ascaron Entertainment ltd.,2013,1,0
Ascension Entertainment LLC,2015,1,3
Aspyr Studios,2015,2,0
"Autobotika,Game Nation Inc",2015,1,0
Avalanche Software,2015,1,0
Avalanche Studios,2013,2,118
Avalanche Studios,2014,2,157
Avalanche Studios,2015,9,106
Awesome Games Studio,2014,1,37
Awesome Games Studio,2015,1,23
BANDAI NAMCO Studio Inc.,2015,1,9
"BadFly Interactive, a.s.",2015,1,0
Bankroll Studios,2015,1,17
Beam Team Games,2015,3,88
Bedlam Games,2013,1,0
Benjamin Rivers Inc.,2015,1,2
Bethesda Game Studios,2013,1,21
Bethesda Game Studios,2014,1,60
Bethesda Game Studios,2015,2,244
"Big Huge Games,38 Studios",2014,1,8
Big Robot Ltd,2014,1,12
"BioWare,Aspyr (Mac)",2014,1,8
"BioWare,Aspyr (Mac)",2015,1,14
"BitMonster, Inc.",2015,3,6
Bitbox Ltd.,2014,2,14
Bitbox Ltd.,2015,1,4
Black Element,2014,1,0
Black Forest Games,2015,1,0
Black Lion Studios,2014,1,0
Blackhole,2014,1,0
BlankMediaGames,2015,2,26
Blendo Games,2013,1,0
Blendo Games,2014,1,3
Blit Software,2014,1,1
Blue Byte,2015,4,2
Blue Isle Studios,2014,1,8
BlueGiant Interactive,2013,1,0
"Bluehole, Inc.",2015,2,48
Bohemia Interactive,2013,3,187
Bohemia Interactive,2014,43,735
Bohemia Interactive,2015,49,272
Boneloaf,2015,2,12
Bongfish GmbH,2015,1,0
Bossa Studios,2013,1,35
Bossa Studios,2014,5,60
Bossa Studios,2015,2,19
Brain Bombers,2014,1,0
Brightrock Games,2015,1,4
Broken Rules,2011,2,0
Bugbear,2014,1,31
Bugbear,2015,1,8
BurstRay Games,2015,1,0
"CAPCOM Co., Ltd.",2014,1,4
"CAPCOM Co., Ltd.",2015,1,10
CCCP,2015,1,2
CCP,2014,3,0
CD PROJEKT RED,2014,1,45
"CI Games,Deck 13",2014,2,2
"CINEMAX, s.r.o.",2014,1,2
CSR-Studios,2015,1,3
Capcom,2013,1,8
Capcom,2014,3,35
Capcom,2015,1,20
Capcom Game Studio Vancouver,2014,2,23
Capcom Vancouver,2014,2,5
Capcom Vancouver,2015,2,5
Centauri Production,2013,1,0
Centauri Production,2015,1,0
Cherry Pop Games,2014,1,6
Cherry Pop Games,2015,2,0
Childish Things,2015,1,0
Chucklefish,2013,1,169
Chucklefish,2014,4,208
Chucklefish,2015,3,78
"Circle Five Studios,Pub Games",2015,2,6
City Interactive,2013,1,4
City Interactive,2014,1,8
City Interactive,2015,1,4
Climax Studios,2015,1,0
CoaguCo Industries,2015,1,0
CodeBrush Games,2013,1,6
CodeBrush Games,2014,2,20
Codemasters,2014,1,2
Codemasters,2015,1,4
Codemasters Action Studio,2014,1,0
Codemasters Studios,2015,1,0
"Codemasters,Feral Interactive (Linux)",2015,2,2
Code}{atch,2015,9,40
Coffee Stain Studios,2013,1,8
Coffee Stain Studios,2014,10,336
Coffee Stain Studios,2015,8,54
Colonthree Enterprises,2015,1,0
Core Design,2015,1,0
Cosmic Cow LLC,2014,3,4
Crackshell,2014,1,12
Crazy Moo Games,2014,1,2
Crazy Moo Games,2015,1,0
Creability,2015,1,2
Creative Assembly,2013,4,25
Creative Assembly,2014,4,62
Creative Assembly,2015,6,54
"Creative Assembly, PC Port - Hardlight",2014,1,0
"Creative Assembly, PC Port - Hardlight",2015,1,0
"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2015,1,23
Crian Soft,2015,1,0
Criterion Games,2014,3,37
Criterion Games,2015,1,10
Critical Studio,2015,1,0
Croteam,2015,1,14
Crowbar Collective,2015,1,24
Cryptic Studios,2013,1,31
Cryptic Studios,2014,6,40
Crystal Dynamics,2014,1,4
"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013,1,49
